id,timestamp,team_id,level,type,death_reason,data
10415,2026-01-16 22:40:09.606693+00,4,WESTERN,MINE_EXPLOSION_SELF,MINE_EXPLOSION_SELF,"{""death_reason"":""MINE_EXPLOSION_SELF""}"
10419,2026-01-16 22:40:13.516822+00,50,SHORE,fishing_minigame_failure,,"{""story_flag"":""shore_03"",""mini_game_id"":""word-scramble""}"
10421,2026-01-16 22:40:14.740648+00,18,WESTERN,MINE_EXPLOSION_SELF,MINE_EXPLOSION_SELF,"{""death_reason"":""MINE_EXPLOSION_SELF""}"
10423,2026-01-16 22:40:17.209764+00,811,CEMETERY,death_spike_trap,SPIKE_TRAP,"{""death_reason"":""SPIKE_TRAP""}"
10434,2026-01-16 22:40:40.988558+00,18,WESTERN,MINE_EXPLOSION_SELF,MINE_EXPLOSION_SELF,"{""death_reason"":""MINE_EXPLOSION_SELF""}"
10445,2026-01-16 22:41:05.293326+00,500,WESTERN,death_train,TRAIN_RUN_OVER,"{""death_reason"":""TRAIN_RUN_OVER""}"
10472,2026-01-16 22:42:38.903551+00,3,SHORE,fishing_minigame_failure,,"{""story_flag"":""shore_05"",""mini_game_id"":""word-encodings""}"
11033,2026-01-16 22:58:59.911159+00,135,CEMETERY,death_spike_trap,SPIKE_TRAP,"{""death_reason"":""SPIKE_TRAP""}"
11037,2026-01-16 22:59:06.460831+00,135,CEMETERY,death_flame_trap,FLAME_TRAP,"{""death_reason"":""FLAME_TRAP""}"
11041,2026-01-16 22:59:18.738221+00,814,SHORE,death_fish_poisoning,FISH_POISONING,"{""death_reason"":""FISH_POISONING""}"
11049,2026-01-16 22:59:32.359038+00,135,CEMETERY,death_spike_trap,SPIKE_TRAP,"{""death_reason"":""SPIKE_TRAP""}"
11051,2026-01-16 22:59:35.184838+00,974,SHORE,fishing_minigame_failure,,"{""story_flag"":""shore_07"",""mini_game_id"":""emoji-riddles""}"
11057,2026-01-16 22:59:47.409375+00,33,CEMETERY,death_flame_trap,FLAME_TRAP,"{""death_reason"":""FLAME_TRAP""}"
11060,2026-01-16 22:59:54.240464+00,135,CEMETERY,death_flame_trap,FLAME_TRAP,"{""death_reason"":""FLAME_TRAP""}"
